term	en_term	cat
حرائق الغابات	bushfire	NATURAL DISASTER
تأثير المذنب	comet impact	NATURAL DISASTER
الإعصار	cyclone	NATURAL DISASTER
انفجار السد	dam burst	NATURAL DISASTER
فشل السد	dam failure	NATURAL DISASTER
جفاف	drought	NATURAL DISASTER
زلزال	earthquake	NATURAL DISASTER
انفجار	eruption	NATURAL DISASTER
الثورات	eruptions	NATURAL DISASTER
اندلاع	erupting	NATURAL DISASTER
البرد القارس	extreme cold	NATURAL DISASTER
طقس قاس	extreme weather	NATURAL DISASTER
السدود فشلت	failed levee	NATURAL DISASTER
فشل السدود	levee failure	NATURAL DISASTER
فيضان	flood	NATURAL DISASTER
غمرت	flooded	NATURAL DISASTER
الفيضانات	flooding	NATURAL DISASTER
مياه الفيضان	floodwater	NATURAL DISASTER
مياه الفيضان	flood water	NATURAL DISASTER
اضواء الاشاره	flash flood	NATURAL DISASTER
كسر السد	dam break	NATURAL DISASTER
السد تجاوز	dam overflow	NATURAL DISASTER
طوفان مدمرة و	devasting deluge	NATURAL DISASTER
عاصفة ترابية	dust storm	NATURAL DISASTER
حريق الغابة	forest fire	NATURAL DISASTER
حريق العشب	grass fire	NATURAL DISASTER
حرائق الغابات	bushfire	NATURAL DISASTER
حرائق الغابات	bushfires	NATURAL DISASTER
بوش النار	bush fire	NATURAL DISASTER
حريق فرشاة	brush fire	NATURAL DISASTER
brushfire	brushfire	NATURAL DISASTER
حرق الغابات	forest burned	NATURAL DISASTER
مقياس ريختر	richter scale	NATURAL DISASTER
الثلوج الكثيفة	heavy snow	NATURAL DISASTER
مطر غزير	heavy rain	NATURAL DISASTER
اعصار	hurricane	NATURAL DISASTER
انخفاض حرارة الجسم	hypothermia	NATURAL DISASTER
انهيار أرضي	landslide	NATURAL DISASTER
فشل السدود	levee failure	NATURAL DISASTER
تأثير النيزك	meteorite impact	NATURAL DISASTER
تدفق الطين	mud flow	NATURAL DISASTER
التدفقات الطينية	mudflow	NATURAL DISASTER
شريحة الطين	mud slide	NATURAL DISASTER
انهيار وحلي	mudslide	NATURAL DISASTER
منازل دفن	buried homes	NATURAL DISASTER
كارثة طبيعية	natural disaster	NATURAL DISASTER
الحمم البركانية	pyroclastic	NATURAL DISASTER
عاصفة ثلجية	snow storm	NATURAL DISASTER
العواصف الثلجية	snow storms	NATURAL DISASTER
الأضرار الناجمة عن العواصف	storm damage	NATURAL DISASTER
الطقس القاسي	severe weather	NATURAL DISASTER
عاصفة قوية	powerful storm	NATURAL DISASTER
الثلوج الإغراق	dumping snow	NATURAL DISASTER
موجة مد و جزر	tidal wave	NATURAL DISASTER
إعصار	tornado	NATURAL DISASTER
عاصفة إستوائية	tropical storm	NATURAL DISASTER
تسونامي	tsunami	NATURAL DISASTER
إعصار	twister	NATURAL DISASTER
الاعصار	typhoon	NATURAL DISASTER
الأعاصير	typhoons	NATURAL DISASTER
عاصفة عنيفة	violent storm	NATURAL DISASTER
بركاني	volcanic	NATURAL DISASTER
بركان	volcano	NATURAL DISASTER
الطقس في حالات الطوارئ	weather emergency	NATURAL DISASTER
حريق هائل	wildfire	NATURAL DISASTER
الرياح المدمرة	destructive wind	NATURAL DISASTER
حافلة	bus	PUBLIC TRANSIT
حافلة صغيرة	minibus	PUBLIC TRANSIT
منهمكين	busing	PUBLIC TRANSIT
قطار	train	PUBLIC TRANSIT
طرق جانبية	subway	PUBLIC TRANSIT
مترو السكك الحديدية	metrorail	PUBLIC TRANSIT
وسائل النقل العامة	public transportation	PUBLIC TRANSIT
النقل العام	public transport	PUBLIC TRANSIT
نقل عام	public transit	PUBLIC TRANSIT
السكك الحديدية الخفيفة	light rail	PUBLIC TRANSIT
دعم مالي	subsidy	SUBSIDIES
دعم	subsidize	SUBSIDIES
احتياطي العملة	currency reserve	CURRENCY RESERVES
أصول العملة	currency assets	CURRENCY RESERVES
احتياطى النقد	exchange reserve	CURRENCY RESERVES
احتياطى النقد الاجنبى	forex reserve	CURRENCY RESERVES
احتياطي الدولار	dollar reserve	CURRENCY RESERVES
احتياطي اليورو	euro reserve	CURRENCY RESERVES
عملة إحتياطية	reserve currency	CURRENCY RESERVES
سعر الصرف	exchange rate	EXCHANGE RATE
سعر صرف العملات	foreign exchange	EXCHANGE RATE
البورصات الأجنبية	foreign exchanges	EXCHANGE RATE
مراقبة العملة	currency control	EXCHANGE RATE
سوق الصرف	exchange market	EXCHANGE RATE
مقابل الدولار	against the dollar	EXCHANGE RATE
مقابل اليورو	against the euro	EXCHANGE RATE
مقابل الين	against the yen	EXCHANGE RATE
الفوركس	forex	EXCHANGE RATE
تقلب أسعار العملات	currency fluctuation	EXCHANGE RATE
معدل التبادل	rate of exchange	EXCHANGE RATE
خلاف تجاري	trade dispute	TRADE DISPUTE
النزاعات التجارية	trade disputes	TRADE DISPUTE
مكافحة الإغراق	antidumping	TRADE DISPUTE
مكافحة الإغراق	anti dumping	TRADE DISPUTE
احتكار	monopoly	MONOPOLY
الاحتكارية	monopolistic	MONOPOLY
الاحتكارات	monopolies	MONOPOLY
مكافحة المنافسة	anti competitive	MONOPOLY
مانعة للمنافسة	anticompetitive	MONOPOLY
السوق السوداء	black market	BLACK MARKET
السوق السوداء	blackmarket	BLACK MARKET
blackmarkets	blackmarkets	BLACK MARKET
سعر الفائدة	interest rate	INTEREST RATES
معدل مرجعي	benchmark rate	INTEREST RATES
معدل الإقراض	lending rate	INTEREST RATES
معدل ا لفائده	prime rate	INTEREST RATES
معدل الرهن العقاري	mortgage rate	INTEREST RATES
معدل بين عشية وضحاها	overnight rate	INTEREST RATES
تكلفة الاقتراض	cost of borrowing	INTEREST RATES
سعر الفائدة بين البنوك	interbank rate	INTEREST RATES
السعر الفوري	spot rate	INTEREST RATES
يبور	libor	INTEREST RATES
mibor	mibor	INTEREST RATES
معدل الفائدة بين البنوك	interbank offered rate	INTEREST RATES
أسعار المساكن	housing prices	HOUSING PRICES
أسعار الإيجارات	rental prices	HOUSING PRICES
سوق الإسكان	housing market	HOUSING PRICES
أسعار المساكن	home prices	HOUSING PRICES
أسعار الشقق	apartment prices	HOUSING PRICES
مبيعات المنازل	home sales	HOUSING PRICES
فقاعة الإسكان	housing bubble	HOUSING PRICES
تحطم الإسكان	housing crash	HOUSING PRICES
سوق العقارات	real estate market	HOUSING PRICES
سوق الإسكان	housing market	HOUSING PRICES
العقارات	real estate	HOUSING PRICES
سوق العقارات	property market	HOUSING PRICES
مبيعات العقارات	property sales	HOUSING PRICES
حق الملكية	property right	PROPERTY RIGHTS
حيازة الأراضي	land tenure	PROPERTY RIGHTS
ملكية الارض	land ownership	PROPERTY RIGHTS
حق الامتلاك	eminent domain	PROPERTY RIGHTS
مصادرة الأراضي	land confiscation	PROPERTY RIGHTS
الأراضي المصادرة	confiscated land	PROPERTY RIGHTS
الاستيلاء على الأراضي	land grab	PROPERTY RIGHTS
فقر	poverty	POVERTY
بلا مأوى	homeless	POVERTY
التشرد	homelessness	POVERTY
فقراء	destitute	POVERTY
فقر مدقع	destitution	POVERTY
أفقر	impoverished	POVERTY
دخل منخفض	low income	POVERTY
عاطل عن العمل	jobless	UNEMPLOYMENT
البطالة	joblessness	UNEMPLOYMENT
بطالة	unemployment	UNEMPLOYMENT
عاطلين عن العمل	unemployed	UNEMPLOYMENT
تقشف	austerity	AUSTERITY
التكيف الهيكلي	structural adjustment	AUSTERITY
مفلس	bankrupt	BANKRUPTCY
إفلاس	bankruptcy	BANKRUPTCY
الإنقاذ	bailout	BANKRUPTCY
عمليات الإنقاذ	bailouts	BANKRUPTCY
تلقيح	vaccination	VACCINATION
لقاح	vaccine	VACCINATION
لقح	vaccinate	VACCINATION
تحصين	immunization	VACCINATION
تحصين	immunize	VACCINATION
التطعيمات	immunizations	VACCINATION
جائحة	pandemic	ID PANDEMIC
التي تنتقل بالاتصال الجنسي	sexually transmitted	SEXTRANS DISEASE
فيروس نقص المناعة البشرية	hiv	SEXTRANS DISEASE
فيروس الإيدز	aids virus	SEXTRANS DISEASE
عدوى الإيدز	aids infection	SEXTRANS DISEASE
مساعدات diesease	aids diesease	SEXTRANS DISEASE
مرض الإيدز من	hivaids	SEXTRANS DISEASE
التهاب المهبل الجرثومي	bacterial vaginosis	SEXTRANS DISEASE
الكلاميديا	chlamydia	SEXTRANS DISEASE
مرض السيلان	gonorrhea	SEXTRANS DISEASE
التهاب الكبد	hepatitis	SEXTRANS DISEASE
الهربس	herpes	SEXTRANS DISEASE
فيروس الورم الحليمي البشري	human papillomavirus	SEXTRANS DISEASE
مرض التهاب الحوض	pelvic inflammatory disease	SEXTRANS DISEASE
مرض الزهري	syphilis	SEXTRANS DISEASE
داء المشعرات	trichomoniasis	SEXTRANS DISEASE
فيروس الورم الحليمي البشري	hpv	SEXTRANS DISEASE
التقزم	achondroplasia	DISEASE
راكدة بومانية	acinetobacter baumannii	DISEASE
التهابات الراكدة	acinetobacter infections	DISEASE
متلازمة نقص المناعة المكتسب	acquired immune deficiency syndrome	DISEASE
داء الشعيات	actinomycosis	DISEASE
اتش	adenovirus	DISEASE
العوامل الممرضة	pathogen	DISEASE
مسببات الأمراض	pathogens	DISEASE
طاعون الخيل	african horse sickness	DISEASE
مرض النوم الافريقي	african sleeping sickness	DISEASE
حمى الخنازير الأفريقية	african swine fever	DISEASE
داء المثقبيات الأفريقي	african trypanosomiasis	DISEASE
تساقط الشعر	alopecia	DISEASE
مرض الزهايمر	alzheimer's	DISEASE
مرض الزهايمر	alzheimers	DISEASE
الحول	amblyopia	DISEASE
داء الأميبات	amebiasis	DISEASE
داء المثقبيات الأمريكي	american trypanosomiasis	DISEASE
الأميبا	amoeba	DISEASE
anaplasmosis	anaplasmosis	DISEASE
فقر دم	anemia	DISEASE
aneurdu	aneurdu	DISEASE
المتشاخسة	anisakis	DISEASE
فقد حاسة الشم	anosmia	DISEASE
انعدام الأذن	anotia	DISEASE
الجمرة الخبيثة	anthrax	DISEASE
المقاومة للمضادات الحيوية	antibiotic resistance	DISEASE
اللاأدائية	apraxia	DISEASE
الفيروسة الرملية	arenavirus	DISEASE
التصبغ بالفضة	argyria	DISEASE
داء الصفر	ascariasis	DISEASE
العقيم التهاب السحايا	aseptic meningitis	DISEASE
الرشاشيات	aspergillosis	DISEASE
فقد القوة	asthenia	DISEASE
الربو	asthma	DISEASE
عدوى النجمي †	astrovirus†infection	DISEASE
تصلب الشرايين	atherosclerosis	DISEASE
كنع	athetosis	DISEASE
الكوليرا الطيور	avian cholera	DISEASE
إنفلونزا الطيور	avian influenza	DISEASE
الليستيريا	listeria	DISEASE
الليستريات	listeriosis	DISEASE
انفلونزا الطيور	avian flu	DISEASE
البابيزيا	babesiosis	DISEASE
السائدة	mers	DISEASE
الزحار العصوي	bacillary dysentery	DISEASE
عصية العدوى الشمعية †	bacillus cereus†infection	DISEASE
بكتيريا	bacteria	DISEASE
بكتيريا	bacterial	DISEASE
التهاب السحايا الجرثومي	bacterial meningitis	DISEASE
الالتهاب الرئوي الجرثومي	bacterial pneumonia	DISEASE
التهاب المهبل الجرثومي	bacterial vaginosis	DISEASE
باكتيرويديز	bacteroides	DISEASE
داء القربيات	balantidiasis	DISEASE
البرتونيلة	bartonella	DISEASE
baylisascaris	baylisascaris	DISEASE
البرى بري	beriberi	DISEASE
لدغة حشرة	insect bite	DISEASE
لدغ الحشرات	insect bites	DISEASE
الموت الاسود	black death	DISEASE
بيصرية سوداء	black piedra	DISEASE
المتبرعمة الكيسية البشرية	blastocystis hominis	DISEASE
فطار برعمي	blastomycosis	DISEASE
الأذن الزرقاء	blue ear	DISEASE
اللسان الأزرق	bluetongue	DISEASE
بوريليا	borrelia	DISEASE
التسمم الوشيقي	botulism	DISEASE
الأبقار ذات الجنب	bovine pleuropneumonia	DISEASE
السل البقري	bovine tb	DISEASE
سرطان الثدي	breast cancer	DISEASE
التهاب شعبي	bronchitis	DISEASE
التهاب الشعب الهوائية / التهاب القصيبات	bronchitis/bronchiolitis	DISEASE
سبحيات	streptococcaceae	DISEASE
الحمى المالطية	brucellosis	DISEASE
مرض جنون البقر	bse	DISEASE
الطاعون الدبلي	bubonic plague	DISEASE
بيركولديريا	burkholderia	DISEASE
بيركولديريا الشرهة	burkholderia cepacia	DISEASE
حصوات	calculi	DISEASE
الفيروسة الكأسية	calicivirus	DISEASE
التسمم الغذائي	campylobacter	DISEASE
عدوى التسمم الغذائي	campylobacter infection	DISEASE
عن هذا المرض	campylobacteriosis	DISEASE
سرطان	cancer	DISEASE
فطيرات في الجلد	candidiasis	DISEASE
حمى الكلاب كلاب	canine distemper	DISEASE
أنفلونزا الكلاب	canine influenza	DISEASE
التسمم بأول أكسيد الكربون	carbon monoxide poisoning	DISEASE
مرض خدش القطة	cat scratch disease	DISEASE
مرض سيلياكس	celiacs disease	DISEASE
النسيج الخلوي	cellulitis	DISEASE
الشلل الدماغي	cerebral palsy	DISEASE
داء شاغاس	chagas disease	DISEASE
البردة	chalazion	DISEASE
قرحة لينة	chancroid	DISEASE
chavia	chavia	DISEASE
ورم زوايا الفك	cherubism	DISEASE
الجدري	chicken pox	DISEASE
الجدري	chickenpox	DISEASE
شيكونغونيا	chikungunya	DISEASE
الكلاميديا	chlamydia	DISEASE
الكلاميديا	chlamydia trachomatis	DISEASE
عدوى متدثرة رئوية †	chlamydophila pneumoniae†infection	DISEASE
كوليرا	cholera	DISEASE
ورم حبلي	chordoma	DISEASE
الرقاص مرض عصبي	chorea	DISEASE
فطار اصطباغي	chromoblastomycosis	DISEASE
متلازمة التعب المزمن	chronic fatigue syndrome	DISEASE
مزمنة / مرض غير معد	chronic/non infectious disease	DISEASE
مرض الهزال المزمن	chronic wasting disease	DISEASE
اضطراب إيقاع الساعة البيولوجية	circadian rhythm sleep disorder	DISEASE
circovirus	circovirus	DISEASE
الليمونية الفرويندية	citrobacter freundii	DISEASE
حمى الخنازير	swine fever	DISEASE
داء متفرعات الخصية	clonorchiasis	DISEASE
المطثية نخر العظام	clostridial myonecrosis	DISEASE
كلوستريديوم العدوى صعب †	clostridium difficile†infection	DISEASE
الكرواني	coccidioidomycosis	DISEASE
التهاب القولون	colitis	DISEASE
حمى القراد كولورادو	colorado tick fever	DISEASE
نزلة برد	common cold	DISEASE
قمي	condyloma	DISEASE
التهاب الملتحمة	conjunctivitis	DISEASE
التاجى	coronavirus	DISEASE
الكورونا	coronaviruses	DISEASE
جدري البقر	cowpox	DISEASE
القماءة	cretinism	DISEASE
creutzfeld يعقوب	creutzfeld jacob	DISEASE
مرض كروتزفيلد جاكوب	creutzfeldt jakob disease	DISEASE
الكونغو القرم النزفية	crimean congo hemorrhagic fever	DISEASE
مرض كرون	crohn's disease	DISEASE
المستخفيات	cryptococcosis	DISEASE
كربتوسبوريديوسس	cryptosporidiosis	DISEASE
الكريبتوسبوريديوم	cryptosporidium	DISEASE
هجرة اليرقات الجلدي	cutaneous larva migrans	DISEASE
cyclospora	cyclospora	DISEASE
cyclosporiasis	cyclosporiasis	DISEASE
داء الكيسات المذنبة	cysticercosis	DISEASE
الفيروس المضخم للخلايا	cytomegalovirus	DISEASE
حمى الضنك	dengue	DISEASE
حمى الضنك	dengue fever	DISEASE
إسهال	diarrhea	DISEASE
dientamoebiasis	dientamoebiasis	DISEASE
الخناق	diphtheria	DISEASE
داء العوساء	diphyllobothriasis	DISEASE
الدونوفانيات	donovanosis	DISEASE
داء التنينات	dracunculiasis	DISEASE
إسهال	dysentery	DISEASE
عدوى الأذن	ear infection	DISEASE
التهاب الدماغ	encephalitis	DISEASE
الايبولا	ebola	DISEASE
الحمى النزفية ايبولا †	ebola†hemorrhagic fever	DISEASE
المشوكات	echinococcosis	DISEASE
بكتريا قولونية	e coli	DISEASE
ه. القولونية	e. coli	DISEASE
بكتريا قولونية	ecoli	DISEASE
ehrlichiosis	ehrlichiosis	DISEASE
داء الفيل	elephantiasis	DISEASE
إنتفاخ الرئة	emphysema	DISEASE
التيفوس الوبائي	endemic typhus	DISEASE
الأمعائية المذرقية	enterobacter cloacae	DISEASE
داء السرميات	enterobiasis	DISEASE
معوي	enterococcus	DISEASE
المعوي	enterovirus	DISEASE
فرط الحمضات	eosinophilia	DISEASE
التيفوس الوبائي	epidemic typhus	DISEASE
مرض النزفية الوبائية	epizootic hemorrhagic disease	DISEASE
ابشتاين بار فيروس كريات الدم البيضاء المعدية	epstein barr virus infectious mononucleosis	DISEASE
فيروس الهربس الخيلي	equine herpes virus	DISEASE
فقر الدم المعدي الخيلي	equine infectious anemia	DISEASE
انفلونزا الخيول	equine influenza	DISEASE
حمامى عدوائية	erythema infectiosum	DISEASE
طفح ظاهر فجائي	exanthem subitum	DISEASE
داء المتورقات	fascioliasis	DISEASE
داء المتوارقات	fasciolopsiasis	DISEASE
مرض تعفن الكبد	fasciolosis	DISEASE
أرق وراثي مميت	fatal familial insomnia	DISEASE
فيروس نقص المناعة القطط	feline immunodeficiency virus	DISEASE
التهاب الصفاق المعدية القطط	feline infectious peritonitis	DISEASE
فيروس اللوكيميا القطط	feline leukemia virus	DISEASE
فيروس قلة الكريات البيض الشاملة القطط	feline panleukopenia virus	DISEASE
حمة	fever	DISEASE
داء الخيطيات	filariasis	DISEASE
أمراض المنقولة عن طريق البراغيث	flea borne disease	DISEASE
أنفلونزا	flu	DISEASE
الأمراض المنقولة بالأغذية	foodborne illness	DISEASE
تسمم غذائي	food poisoning	DISEASE
السم الصلة بالأغذية	food related toxin	DISEASE
قدم و فم	foot and mouth	DISEASE
حمى القلاعية	foot and mouth disease	DISEASE
فطر القدم	foot fungus	DISEASE
مرض فطري	fungal disease	DISEASE
التهاب السحايا الفطرية	fungal meningitis	DISEASE
عدوى † المغزلية	fusobacterium†infection	DISEASE
الغنغرينا	gangrene	DISEASE
الغرغرينا الغازية	gas gangrene	DISEASE
التهاب المعدة والأمعاء	gastroenteritis	DISEASE
الهربس التناسلي	genital herpes	DISEASE
داء التيربيات	geotrichosis	DISEASE
جيرستمان شارع ‰ ussler scheinker متلازمة	gerstmann str‰ussler scheinker syndrome	DISEASE
الجيارديات	giardiasis	DISEASE
الرعام مرض	glanders	DISEASE
الفغمية	gnathostoma	DISEASE
داء الفغميات	gnathostomiasis	DISEASE
الجوثر تضخم الغدة	goitre	DISEASE
مرض السيلان	gonorrhea	DISEASE
الورم الحبيبي الأربي	granuloma inguinale	DISEASE
العقديات	streptococcal	DISEASE
التهاب الحلق	strep throat	DISEASE
غيان بري	guillain barre	DISEASE
الدودة الغينية	guinea worm	DISEASE
مرض اليد و القدم و الفم	hand foot and mouth disease	DISEASE
مرض اليد و القدم و الفم	hand foot and mouth disease	DISEASE
فيروس هانتا	hantavirus	DISEASE
هيليكوباكتر بيلوري العدوى †	helicobacter pylori†infection	DISEASE
الحمى النزفية	hemorrhagic fever	DISEASE
التهاب الكبد	hepatitis	DISEASE
الهربس	herpes	DISEASE
الهربس البسيط	herpes simplex	DISEASE
الحلأ النطاقي	herpes zoster	DISEASE
HFM coxsackiea	hfm coxsackiea	DISEASE
HFM enterovirus71	hfm enterovirus71	DISEASE
ح. النزلية	h. influenzae	DISEASE
كثرة المنسجات	histiocytosis	DISEASE
المنسجات	histoplasmosis	DISEASE
فيروس نقص المناعة البشرية	hiv	DISEASE
فيروس نقص المناعة البشرية / الإيدز	hiv/aids	DISEASE
دودة الإ نسيلوستوما	hookworm	DISEASE
العدوى المرتبطة المستشفى	hospital related infection	DISEASE
فيروس الورم الحليمي البشري	hpv	DISEASE
ح. بيلوري	h. pylori	DISEASE
bocavirus البشري	human bocavirus	DISEASE
ehrlichiosis ewingii البشري	human ewingii ehrlichiosis	DISEASE
anaplasmosis المحببات البشري	human granulocytic anaplasmosis	DISEASE
metapneumovirus البشري	human metapneumovirus	DISEASE
ehrlichiosis الوحيدات البشري	human monocytic ehrlichiosis	DISEASE
فيروس الورم الحليمي البشري	human papillomavirus	DISEASE
نظير الانفلونزا البشرية	human parainfluenza	DISEASE
مرض هنتنغتون	huntington's disease	DISEASE
داء المحرشفات	hymenolepiasis	DISEASE
مد البصر	hypermetropia	DISEASE
مد البصر	hyperopia	DISEASE
فرط نشاط الغدة الدرقية	hyperthyroidism	DISEASE
انخفاض حرارة الجسم	hypothermia	DISEASE
قصور الدرقية	hypothyroid	DISEASE
نقص التوتر	hypotonia	DISEASE
متلازمة ignious	ignious syndrome	DISEASE
الحصف داء جلدي	impetigo	DISEASE
تسمم الدم	blood poisoning	DISEASE
عدوى	infection	DISEASE
العقم	infertility	DISEASE
إنفلونزا	influenza	DISEASE
التهاب المثانة الخلالي	interstitial cystitis	DISEASE
التهاب القزحية	iritis	DISEASE
فقر دم	anemia	DISEASE
متلازمة القولون العصبي	irritable bowel syndrome	DISEASE
داء متماثلات البوائغ	isosporiasis	DISEASE
اليرقان	jaundice	DISEASE
مرض كاواساكي	kawasaki disease	DISEASE
الجدرة	keloids	DISEASE
التهاب القرنية	keratitis	DISEASE
عدوى الكينغيلة الكينغية †	kingella kingae†infection	DISEASE
الكلبسيلة الرئوية	klebsiella pneumoniae	DISEASE
التهاب الحنجره	laryngitis	DISEASE
حمى لاسا	lassa fever	DISEASE
التسمم بالرصاص	lead poisoning	DISEASE
الفيلقيات	legionellosis	DISEASE
"الفيلق """	legionnaires'	DISEASE
مرض المحاربين	legionnaires disease	DISEASE
داء الليشمانيات	leishmaniasis	DISEASE
جذام	leprosy	DISEASE
داء اللولبية النحيفة	leptospirosis	DISEASE
سرطان الدم	leukemia	DISEASE
قمل	lice	DISEASE
الليستريات	listeriosis	DISEASE
حظ الكبد	liver fluke	DISEASE
الكزاز مرض تشنج العضلا ت	lockjaw	DISEASE
داء اللوائيات	loiasis	DISEASE
سرطان الرئة	lung cancer	DISEASE
الذئبة الحمامية	lupus erythematosus	DISEASE
مرض لايم	lyme borreliosis	DISEASE
مرض لايم	lyme disease	DISEASE
داء الفيلاريات اللمفاوي†	lymphatic filariasis†	DISEASE
المشيمي اللمفاوي	lymphocytic choriomeningitis	DISEASE
دبل مناخي	lymphogranuloma venereum	DISEASE
سرطان الغدد الليمفاوية	lymphoma	DISEASE
فيروس ماتشوبو	machupo virus	DISEASE
مرض جنون البقر	mad cow disease	DISEASE
ملاريا	malaria	DISEASE
حمى ماربورغ	marburg fever	DISEASE
حمى ماربورغ النزفية †	marburg†hemorrhagic fever	DISEASE
متلازمة mattticular	mattticular syndrome	DISEASE
الحصبة	measles	DISEASE
سرطان الجلد	melanoma	DISEASE
راعوم	melioidosis	DISEASE
مرض منيير	mÈniËre's disease	DISEASE
التهاب السحايا	meningitis	DISEASE
داء المكورات السحائية	meningococcal disease	DISEASE
سرطان الجلد	skin cancer	DISEASE
داء خلفية المناسل	metagonimiasis	DISEASE
السرطان النقيلي	metastatic cancer	DISEASE
microsporidiosis	microsporidiosis	DISEASE
صداع نصفي	migraine	DISEASE
المليساء المعدية	molluscum contagiosum	DISEASE
داء المبيضات	moniliasis	DISEASE
القرود	monkeypox	DISEASE
عدد كريات الدم البيضاء	mononucleosis	DISEASE
متلازمة موركيو	morquio syndrome	DISEASE
هذه الجرثومة	mrsa	DISEASE
فطار عفني	mucormycosis	DISEASE
المايلوما المتعددة	multiple myeloma	DISEASE
التصلب المتعدد	multiple sclerosis	DISEASE
النكاف	mumps	DISEASE
التيفوس الفأري	murine typhus	DISEASE
موراي ادي التهاب الدماغ	murray valley encephalitis	DISEASE
ضمور العضلات	muscular dystrophy	DISEASE
الوهن العضلي الوبيل	myasthenia gravis	DISEASE
المايستوما	mycetoma	DISEASE
المتفطرات	mycobacteria	DISEASE
المفطورة الرئوية	mycoplasma pneumonia	DISEASE
إلتهاب النخاع الشوكي	myelitis	DISEASE
النغف	myiasis	DISEASE
رمع عضلي	myoclonus	DISEASE
قصر النظر	myopia	DISEASE
الوذمة المخاطية	myxedema	DISEASE
التهاب اللفافة الناخر	necrotizing fasciitis	DISEASE
التهاب الملتحمة الوليدي	neonatal conjunctivitis	DISEASE
ورم	neoplasm	DISEASE
مرض نيوكاسل	newcastle disease	DISEASE
العمى الليلي	night blindness	DISEASE
العمى النهري	river blindness	DISEASE
نيبا / فيروس هيندرا	nipah/hendra virus	DISEASE
داء النوكارديات	nocardiosis	DISEASE
التهاب الإحليل غير السيلاني	non gonococcal urethritis	DISEASE
نوروفيروس	norovirus	DISEASE
بدانة	obesity	DISEASE
بدين	obese	DISEASE
داء هجرة اليرقات العين	ocular larva migrans	DISEASE
داء كلابية الذنب	onchocerciasis	DISEASE
ظفري	onychomycosis	DISEASE
الرمد الوليدي	ophthalmia neonatorum	DISEASE
في العمود الفقري	osteoarthritis	DISEASE
هشاشة العظام	osteoporosis	DISEASE
إلتهاب الأذن	otitis	DISEASE
التهاب الأذن الوسطى	otitis media	DISEASE
التفشي	outbreak	DISEASE
الزنجارية	aeruginosa	DISEASE
روماتيزم متناوب	palindromic rheumatism	DISEASE
الفطار نظير الكرواني	paracoccidioidomycosis	DISEASE
جانبية المناسل	paragonimiasis	DISEASE
جانبية المناسل	paragonimus	DISEASE
تسمم المحار مشلول	paralytic shellfish poisoning	DISEASE
حمى نظيرة التيفية	paratyphoid fever	DISEASE
مرض الشلل الرعاش	parkinson's disease	DISEASE
التهاب الغدة النكفية	parotitis	DISEASE
البارفو	parvovirus	DISEASE
الباستريلا	pasteurellosis	DISEASE
قمال الرأس	pediculosis capitis	DISEASE
قمال الجسم	pediculosis corporis	DISEASE
العانة القمل	pediculosis pubis	DISEASE
مرض التهاب الحوض	pelvic inflammatory disease	DISEASE
أمراض اللثة	periodontal disease	DISEASE
التهاب الصفاق	peritonitis	DISEASE
السعال الديكي	pertussis	DISEASE
بيلة الفينيل كيتون	phenylketonuria	DISEASE
pilia	pilia	DISEASE
الدبوسية	pinworm	DISEASE
النخالية المبرقشة	pityriasis versicolor	DISEASE
طاعون	plague	DISEASE
المكورات الرئوية	pneumococcal	DISEASE
الالتهاب الرئوي	pneumonia	DISEASE
dieoff الأسماك	fish dieoff	DISEASE
dieoff من الأسماك	dieoff of fish	DISEASE
لكي يغلي	boil order	DISEASE
تسمم	poisoning	DISEASE
مسمم	poisoned	DISEASE
حمة	fever	DISEASE
النزفية	hemorrhagic	DISEASE
الأمراض الحيوانية المنشأ	zoonoses	DISEASE
h7n9	h7n9	DISEASE
شلل الأطفال	polio	DISEASE
شلل الأطفال	poliomyelitis	DISEASE
حمى بونتياك	pontiac fever	DISEASE
فيروس الخنازير	porcine circovirus	DISEASE
البورفيريا	porphyria	DISEASE
عدوى † بريفوتيلا	prevotella†infection	DISEASE
التهاب السحايا والدماغ الأميبي الأولي	primary amoebic meningoencephalitis	DISEASE
الشياخ	progeria	DISEASE
اعتلال بيضاء الدماغ متعدد البؤر التقدمية	progressive multifocal leukoencephalopathy	DISEASE
التهاب البروستات	prostatitis	DISEASE
المتقلبة الرائعة	proteus mirabilis	DISEASE
الكائنات الاوليه	protozoa	DISEASE
الببغائية	psittacosis	DISEASE
الانسداد الرئوي	pulmonary embolism	DISEASE
داء الكلب	rabies	DISEASE
طفح جلدي	rash	DISEASE
حمى عضة الجرذ	rat bite fever	DISEASE
الحمى الناكسة	relapsing fever	DISEASE
أمراض الجهاز التنفسي	respiratory illness	DISEASE
فيروس الجهاز التنفسي المخلوي	respiratory syncytial virus	DISEASE
الجهاز التنفسي المخلوي عدوى فيروس †	respiratory syncytial virus†infection	DISEASE
الحمى الروماتيزمية	rheumatic fever	DISEASE
روماتيزم القلب	rheumatic heart	DISEASE
روماتزم	rheumatism	DISEASE
التهاب المفاصل الروماتويدي	rheumatoid arthritis	DISEASE
التهاب البلعوم الأنفي	rhinopharyngitis	DISEASE
بواغ أنفي	rhinosporidiosis	DISEASE
عدوى فيروسات الانف †	rhinovirus†infection	DISEASE
كساح الأطفال	rickets	DISEASE
